id,postId,views,reach,likes,reposts,comments,clicksToLink,system
5800,5799,2908,732,0,0,0,8,ok
5799,5798,2901,740,1,0,0,2,ok
5798,5797,2875,732,3,0,0,3,ok
5797,5796,2438,537,3,0,0,2,ok
5796,5795,2572,568,0,1,0,5,ok
5795,5794,2688,589,4,0,1,3,ok
5794,5793,2759,634,4,0,0,9,ok
5793,5792,2638,575,1,0,0,3,ok
5792,5791,2777,592,3,0,0,7,ok
5791,5790,2761,589,0,0,0,10,ok
5790,5789,2470,507,1,0,0,4,ok
5789,5788,2457,512,0,0,0,7,ok
5788,5787,2636,543,0,0,0,3,ok
5787,5786,2682,589,1,0,0,1,ok
5786,5785,2685,552,0,0,0,4,ok
5785,5784,2576,599,7,0,0,0,ok
5784,5783,2526,612,3,0,0,4,ok
5783,5782,2929,732,5,2,0,3,ok
5782,5781,2520,666,7,0,0,0,ok
5781,5780,2169,510,1,1,0,4,ok
5780,5779,2201,523,1,1,0,1,ok
5779,5778,2320,561,1,0,0,2,ok
5778,5777,3680,1431,2,0,0,1,ok
5777,5776,20946,17451,4,0,0,0,ok
5776,5775,5009,2332,7,1,0,0,ok
5775,5774,5179,2195,11,2,0,0,ok
5774,5773,4148,1687,2,0,0,0,ok
5773,5772,4117,1774,3,0,0,5,ok
5772,5771,4742,2097,10,1,0,0,ok
5771,5770,4023,1627,5,0,0,0,ok
5770,5769,2351,573,0,0,0,0,ok
5769,5768,5673,2804,20,3,1,0,ok
5768,5767,4019,1584,6,0,0,3,ok
5767,5766,4879,2044,7,0,1,0,ok
5766,5765,3880,1672,1,0,1,0,ok
5765,5764,2211,478,1,0,0,1,ok
5764,5763,2227,520,0,0,0,3,ok
5763,5762,3816,1435,1,0,0,7,ok
5762,5761,3866,1515,3,0,0,2,ok
5761,5760,3895,1456,1,0,1,0,ok
4545,4544,1365,486,2,0,1,7,ok
4544,4543,1249,434,1,0,0,2,ok
4543,4542,1303,451,2,0,0,0,ok
4542,4541,1294,428,2,0,0,0,ok
4541,4540,1305,448,1,0,0,3,ok
4540,4539,1326,435,2,0,0,4,ok
4539,4538,1843,649,12,2,0,0,ok
4538,4537,1393,476,4,1,0,15,ok
4537,4536,1441,532,6,1,0,0,ok
4536,4535,1576,587,10,0,0,0,ok
4535,4534,1159,395,1,0,0,6,ok
4534,4533,1202,405,1,0,0,2,ok
4533,4532,1349,470,5,0,0,11,ok
4532,4531,1214,426,1,0,0,1,ok
4531,4530,1304,495,0,0,0,0,ok
4530,4529,1117,407,1,0,0,7,ok
4529,4528,1118,425,1,0,0,2,ok
4528,4527,1112,437,2,0,0,2,ok
4527,4526,1179,419,2,0,0,2,ok
4526,4525,1335,484,3,0,0,1,ok
4525,4524,1244,457,1,0,0,5,ok
4524,4523,1362,518,3,0,0,0,ok
4523,4522,1195,465,2,0,0,1,ok
4522,4521,1329,505,2,0,0,4,ok
4521,4520,1301,460,2,0,0,5,ok
4520,4519,1253,470,2,0,0,5,ok
4519,4518,1292,474,1,0,0,2,ok
4518,4517,1367,517,3,0,0,2,ok
